Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR8615695	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MONO-MAC-1	http://www.ebi.ac.uk/efo/EFO_0006287	adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	hematopoietic system and lymphoid system		MONO-MAC-1	http://www.ebi.ac.uk/efo/EFO_0006287	adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	Yes
SRR8615696	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MONO-MAC-6	http://www.ebi.ac.uk/efo/EFO_0006287	adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	hematopoietic system and lymphoid system		MONO-MAC-6	http://www.ebi.ac.uk/efo/EFO_0006287	adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	Yes
SRR8615697	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MON		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	soft tissue		MON		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	Yes
SRR8615698	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MOR/CPR		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	lung	http://purl.obolibrary.org/obo/UBERON_0002048	MOR/CPR		lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
SRR8615699	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MPP 89		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	MPP 89		mesothelioma	http://www.ebi.ac.uk/efo/EFO_0000588	Yes
SRR8615700	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MSTO-211H	http://www.ebi.ac.uk/efo/EFO_0002839	pleural mesothelioma	http://www.ebi.ac.uk/efo/EFO_1000485	pleura	http://purl.obolibrary.org/obo/UBERON_0000977	MSTO-211H	http://www.ebi.ac.uk/efo/EFO_0002839	pleural mesothelioma	http://www.ebi.ac.uk/efo/EFO_1000485	Yes
SRR8615701	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MUTZ-3	http://www.ebi.ac.uk/efo/EFO_0005395	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	hematopoietic system and lymphoid system		MUTZ-3	http://www.ebi.ac.uk/efo/EFO_0005395	adult acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1001934	Yes
SRR8615702	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KNS-60	http://www.ebi.ac.uk/efo/EFO_0006620	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	KNS-60	http://www.ebi.ac.uk/efo/EFO_0006620	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615703	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KNS-42	http://www.ebi.ac.uk/efo/EFO_0006620	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	KNS-42	http://www.ebi.ac.uk/efo/EFO_0006620	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615704	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KARPAS-422	http://www.ebi.ac.uk/efo/EFO_0005719	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		KARPAS-422	http://www.ebi.ac.uk/efo/EFO_0005719	diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8615705	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KARPAS-620	http://www.ebi.ac.uk/efo/EFO_0006449	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	hematopoietic system and lymphoid system		KARPAS-620	http://www.ebi.ac.uk/efo/EFO_0006449	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
SRR8615706	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KOPN-8		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	hematopoietic system and lymphoid system		KOPN-8		childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	Yes
SRR8615707	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KO52		acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	hematopoietic system and lymphoid system		KO52		acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	Yes
SRR8615708	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KNS-81		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	KNS-81		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615709	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KNS-62	http://www.ebi.ac.uk/efo/EFO_0006620	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	lung	http://purl.obolibrary.org/obo/UBERON_0002048	KNS-62	http://www.ebi.ac.uk/efo/EFO_0006620	squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000708	Yes
SRR8615710	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	JVM-2	http://www.ebi.ac.uk/efo/EFO_0005476	Mantle cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1001469	hematopoietic system and lymphoid system		JVM-2	http://www.ebi.ac.uk/efo/EFO_0005476	Mantle cell lymphoma	http://www.ebi.ac.uk/efo/EFO_1001469	Yes
SRR8615711	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	JVM-3	http://www.ebi.ac.uk/efo/EFO_0002214	B-cell prolymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1000102	hematopoietic system and lymphoid system		JVM-3	http://www.ebi.ac.uk/efo/EFO_0002214	B-cell prolymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1000102	Yes
SRR8615712	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	JURKAT	http://www.ebi.ac.uk/efo/EFO_0002796	childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	hematopoietic system and lymphoid system		JURKAT	http://www.ebi.ac.uk/efo/EFO_0002796	childhood T acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001947	Yes
SRR8615713	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	JURL-MK1		blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	hematopoietic system and lymphoid system		JURL-MK1		blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	Yes
SRR8615714	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KALS-1		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	KALS-1		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615715	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	KARPAS-299	http://www.ebi.ac.uk/efo/EFO_0005390	anaplastic large cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0003032	hematopoietic system and lymphoid system		KARPAS-299	http://www.ebi.ac.uk/efo/EFO_0005390	anaplastic large cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0003032	Yes
SRR8615716	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	K029AX		cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	skin	http://purl.obolibrary.org/obo/UBERON_0000014	K029AX		cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000389	Yes
SRR8615717	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	K-562	http://www.ebi.ac.uk/efo/EFO_0002067	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	hematopoietic system and lymphoid system		K-562	http://www.ebi.ac.uk/efo/EFO_0002067	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	http://www.ebi.ac.uk/efo/EFO_1000131	Yes
SRR8615718	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RH-18		alveolar rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0000248	soft tissue		RH-18		alveolar rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0000248	Yes
SRR8615719	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	LCLC-97TM1	http://www.ebi.ac.uk/efo/EFO_0006635	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	lung	http://purl.obolibrary.org/obo/UBERON_0002048	LCLC-97TM1	http://www.ebi.ac.uk/efo/EFO_0006635	large cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003050	Yes
SRR8615720	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TUHR14TKB		renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	TUHR14TKB		renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
SRR8615721	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TUHR10TKB		renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	kidney	http://purl.obolibrary.org/obo/UBERON_0002113	TUHR10TKB		renal cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000681	Yes
SRR8615722	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RH-30	http://www.ebi.ac.uk/efo/EFO_0005722	alveolar rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0000248	soft tissue		RH-30	http://www.ebi.ac.uk/efo/EFO_0005722	alveolar rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0000248	Yes
SRR8615723	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	U-87 MG	http://www.ebi.ac.uk/efo/EFO_0005237	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	U-87 MG	http://www.ebi.ac.uk/efo/EFO_0005237	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615724	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TTC-709		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	soft tissue		TTC-709		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	Yes
SRR8615725	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TTC-642		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	soft tissue		TTC-642		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	Yes
SRR8615726	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TT		multiple endocrine neoplasia	http://www.orpha.net/ORDO/Orphanet_276161	thyroid gland	http://purl.obolibrary.org/obo/UBERON_0002046	TT		multiple endocrine neoplasia	http://www.orpha.net/ORDO/Orphanet_276161	Yes
SRR8615727	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	T.T		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	T.T		esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	Yes
SRR8615728	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TT2609-C02		hereditary thyroid gland medullary carcinoma	http://www.ebi.ac.uk/efo/EFO_1001957	thyroid gland	http://purl.obolibrary.org/obo/UBERON_0002046	TT2609-C02		hereditary thyroid gland medullary carcinoma	http://www.ebi.ac.uk/efo/EFO_1001957	Yes
SRR8615729	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TOV-21G		ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	TOV-21G		ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	Yes
SRR8615730	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TTC-549		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	soft tissue		TTC-549		malignant rhabdoid tumour	http://www.ebi.ac.uk/efo/EFO_0005701	Yes
SRR8615731	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	TTC-1240		rhabdoid tumor of the kidney	http://www.ebi.ac.uk/efo/EFO_1000512	soft tissue		TTC-1240		rhabdoid tumor of the kidney	http://www.ebi.ac.uk/efo/EFO_1000512	Yes
SRR8615732	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GB-1		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	GB-1		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615733	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GCIY		gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	GCIY		gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
SRR8615734	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVMANA	http://www.ebi.ac.uk/efo/EFO_0006726	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OVMANA	http://www.ebi.ac.uk/efo/EFO_0006726	ovarian clear cell adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000042	Yes
SRR8615735	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	FU97	http://www.ebi.ac.uk/efo/EFO_0002054	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	FU97	http://www.ebi.ac.uk/efo/EFO_0002054	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
SRR8615736	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	FU-OV-1		high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	FU-OV-1		high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8615737	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	G-292-clone-A141B1		osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	bone	http://purl.obolibrary.org/obo/UBERON_0002481	G-292-clone-A141B1		osteosarcoma	http://www.ebi.ac.uk/efo/EFO_0000637	Yes
SRR8615738	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	G-361	http://www.ebi.ac.uk/efo/EFO_0006394	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	G-361	http://www.ebi.ac.uk/efo/EFO_0006394	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615739	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	G-401	http://www.ebi.ac.uk/efo/EFO_0002179	rhabdoid tumor of the kidney	http://www.ebi.ac.uk/efo/EFO_1000512	soft tissue		G-401	http://www.ebi.ac.uk/efo/EFO_0002179	rhabdoid tumor of the kidney	http://www.ebi.ac.uk/efo/EFO_1000512	Yes
SRR8615740	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	G-402	http://www.ebi.ac.uk/efo/EFO_0002179	leiomyoma, epithelioid	http://www.ebi.ac.uk/efo/EFO_1001356	soft tissue		G-402	http://www.ebi.ac.uk/efo/EFO_0002179	leiomyoma, epithelioid	http://www.ebi.ac.uk/efo/EFO_1001356	Yes
SRR8615741	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GA-10	http://www.ebi.ac.uk/efo/EFO_0002181	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	hematopoietic system and lymphoid system		GA-10	http://www.ebi.ac.uk/efo/EFO_0002181	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
SRR8615742	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	GAMG		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	GAMG		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615743	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RL95-2	http://www.ebi.ac.uk/efo/EFO_0002320	endometrial adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_1001952	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	RL95-2	http://www.ebi.ac.uk/efo/EFO_0002320	endometrial adenosquamous carcinoma	http://www.ebi.ac.uk/efo/EFO_1001952	Yes
SRR8615744	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SH-10-TC		mucinous gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000386	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	SH-10-TC		mucinous gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000386	Yes
SRR8615745	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF-295	http://www.ebi.ac.uk/efo/EFO_0005452	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	SF-295	http://www.ebi.ac.uk/efo/EFO_0005452	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615746	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	astrocytoma	http://www.ebi.ac.uk/efo/EFO_0000272	Yes
SRR8615747	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RL		diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	hematopoietic system and lymphoid system		RL		diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
SRR8615748	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	gliosarcoma	http://www.ebi.ac.uk/efo/EFO_1001465	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	SF539	http://www.ebi.ac.uk/efo/EFO_0005453	gliosarcoma	http://www.ebi.ac.uk/efo/EFO_1001465	Yes
SRR8615749	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Set-2	http://www.ebi.ac.uk/efo/EFO_0006486	adult acute megakaryoblastic leukaemia	http://www.ebi.ac.uk/efo/EFO_1001932	hematopoietic system and lymphoid system		Set-2	http://www.ebi.ac.uk/efo/EFO_0006486	adult acute megakaryoblastic leukaemia	http://www.ebi.ac.uk/efo/EFO_1001932	Yes
SRR8615750	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SEM	http://www.ebi.ac.uk/efo/EFO_0002326	childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	hematopoietic system and lymphoid system		SEM	http://www.ebi.ac.uk/efo/EFO_0002326	childhood B acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001946	Yes
SRR8615751	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF172		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	SF172		glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615752	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF126	http://www.ebi.ac.uk/efo/EFO_0005450	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	SF126	http://www.ebi.ac.uk/efo/EFO_0005450	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615753	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	high grade ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001958	Yes
SRR8615754	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	U-937	http://www.ebi.ac.uk/efo/EFO_0001257	adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	hematopoietic system and lymphoid system		U-937	http://www.ebi.ac.uk/efo/EFO_0001257	adult acute monocytic leukemia	http://www.ebi.ac.uk/efo/EFO_1001933	Yes
SRR8615755	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-134-VI	http://www.ebi.ac.uk/efo/EFO_0001205	invasive lobular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000553	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDA-MB-134-VI	http://www.ebi.ac.uk/efo/EFO_0001205	invasive lobular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000553	Yes
SRR8615756	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-157	http://www.ebi.ac.uk/efo/EFO_0001206	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDA-MB-157	http://www.ebi.ac.uk/efo/EFO_0001206	breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000305	Yes
SRR8615757	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCAS	http://www.ebi.ac.uk/efo/EFO_0006453	ovarian mucinous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001963	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	MCAS	http://www.ebi.ac.uk/efo/EFO_0006453	ovarian mucinous cystadenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001963	Yes
SRR8615758	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MCF7	http://www.ebi.ac.uk/efo/EFO_0001203	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
SRR8615759	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Malme-3M	http://www.ebi.ac.uk/efo/EFO_0002243	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	skin	http://purl.obolibrary.org/obo/UBERON_0000014	Malme-3M	http://www.ebi.ac.uk/efo/EFO_0002243	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
SRR8615760	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MC116	http://www.ebi.ac.uk/efo/EFO_0002228	B-cell non-Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_1001938	hematopoietic system and lymphoid system		MC116	http://www.ebi.ac.uk/efo/EFO_0002228	B-cell non-Hodgkins lymphoma	http://www.ebi.ac.uk/efo/EFO_1001938	Yes
SRR8615761	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	M059K	http://www.ebi.ac.uk/efo/EFO_0006451	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	M059K	http://www.ebi.ac.uk/efo/EFO_0006451	glioblastoma	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
SRR8615762	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	M-07e		childhood acute megakaryoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001943	hematopoietic system and lymphoid system		M-07e		childhood acute megakaryoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_1001943	Yes
SRR8615763	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SW 1353	http://www.ebi.ac.uk/efo/EFO_0002360	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	bone	http://purl.obolibrary.org/obo/UBERON_0002481	SW 1353	http://www.ebi.ac.uk/efo/EFO_0002360	chondrosarcoma	http://www.ebi.ac.uk/efo/EFO_0000333	Yes
SRR8615764	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-H1930	http://www.ebi.ac.uk/efo/EFO_0002270	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	lung	http://purl.obolibrary.org/obo/UBERON_0002048	NCI-H1930	http://www.ebi.ac.uk/efo/EFO_0002270	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
SRR8615765	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Panc 04.03	http://www.ebi.ac.uk/efo/EFO_0006468	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	Panc 04.03	http://www.ebi.ac.uk/efo/EFO_0006468	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
SRR8615766	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-175-VII	http://www.ebi.ac.uk/efo/EFO_0001208	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDA-MB-175-VII	http://www.ebi.ac.uk/efo/EFO_0001208	invasive ductal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000186	Yes
SRR8615767	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MDA-MB-231	http://www.ebi.ac.uk/efo/EFO_0001209	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	breast	http://purl.obolibrary.org/obo/UBERON_0000310	MDA-MB-231	http://www.ebi.ac.uk/efo/EFO_0001209	breast adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000304	Yes
